processed_text,label
hardly moved hang,-1
standby lawait whattoo many conman around,-1
waiting king maker make decision lah kasi goreng kfc sapura energy,-1
get ready cut loss strategy sifu may want use local maxima reference ie cut loss sifu may want use purchase price ie cut loss sifu may want hold q result q result fy result cut loss strategy applicable needed suit ones requirement really confidence need cut loss never heard dollarcost averaging price fall gives opportunity buy,-1
sell wait,-1
oil bullishbut armada bullish,1
sen better sell losing,-1
pak tua hantam ka jaks,-1
director happy making forum interest,1
many ppl loss patience armada clair news start taking profit,-1
wasudah break senlater thenhehehehego baby go,-1
third idss short,-1
standby see dsonic go,-1
morning morning cny rally expect low sen collect soon break sen,1
ik u r longif half sen sen hell u made much money less u sell sen,-1
sure dont trade fear greed havent buy coffee alam maritim buy call c p,-1
chief said low oil price temporarily virus price hike listen give full support anyway est jan results bad tp,-1
arma reminds first nightso difficult breaki hope broken weekthat lovely,1
sapura many foreign funds selling malaysian fund selling public bank overall funda nett seller surprise asn keep buying small amount buy supposed asn report trade since,1
sold wait go masuk balik pang said,1
yes agree lotus tats put jackpot price,1
wait touch sapu la,-1
thumb show investor sifus optimistic jaks ranking,1
stock price cheaper buy keep,1
tech plantation epayment steel oil next weekprepared,1
market kena con times smart alreadynvr tanks sen anymore,-1
proceed without ppa believe koon mudajaya bikin bisnes mcm ni,-1
crack sencome armadago sen,-1
armada wont till claire case positive armada,-1
indeed grateful infoi need know steam test success prior immerse intention add jaks shares portfoliotq,1
sapuras good time come bad time shld soon,1
heres learni buy sen buy drop sen buy even drop senbecause believe worth seni started counting money sen looking back decision regret alljust like buy price fair value regret fair valuation armada pe epssen senpe priced one third yinson already bought could afford sen else would buy morefor u buy sen sen whateverwhen sen wont regret however makes u regret buy sen sell sen bcos naked boys dance coconut tree temporary dip u might well go casinothese naked boys either idss people missed boat,1
hahahaha icon put jaks stocks picked bought back jaks,-1
technically trigger selling unable sustain,-1
absolutely apanplease dont fight waveyou perishcome join ship lateremember story noah,1
weldone sap ranking,1
another stupid cunt came,-1
mike said due profit taking short sellingeverything table patience everything selling stop there one way go,1
personally feel like armada operators still want attract sohai stupid shorties short,-1
never thought sap eventually became femes cents counteramazing isnt karma,1
think usd end year,1
already said lo malaysia roti canai vietnam doubt much better quit klse market scary forvyou guys,-1
many people already standing without queueing,-1
ik please announcement today dont wait tomorrow market close announce bought back shares,1
apanama like small kid free,-1
enjoyfinger licking gooooood yummyyyy,1
would hold breaks sen see trend,1
armada knm experiencing retrace right clear good explanation eventhough battleship good fundamentali believe ik mentioned two battleship run operatorsbased ta two battleship expect rebound soon,1
go watch movie lah let money works deserved win see gold mine deserved always noise telling ass hole,-1
believe analysis important follow others sifu like otb dk provide us information research money decision ur hand whether buy sell stock responsible action tq,1
support broke see,-1
wait next week already la see court release verdict court holiday nothing see,-1
rebound going happen soon oversold,1
resistance hard break break fly,1
sell q none see even directors sold promoter must hide,-1
loser price willing pay say price say gg get lower repeat end also dont buy also dont buy like loser casino standing beside talk talk black jack also win nothing blow also lose nothing dont know come whatat least buy dip buy dip,-1
kyy says sell,-1
already good jobs,1
fuyo sapura already senfirst day trading ongsapura touch senkekekkeekkekeek,1
profit trend wonder large institutional funds could buy optimistic buy push,-1
yu new one idssmust pray hard hard dropnvm already queue fight uguys u hv margin queue gao gao see idss cuak,-1
bull wat u r saying totally opposite sslee bin harping jic gain jic take loss jaks take jic less thn,1
tomorrow stocks sure go djia crash tonight,1
get ready cut loss said cut loss lah,-1
sap also gone gone,-1
today buy dip sailang,1
drag lama lama bagusboleh touch like previous may market loss total point,-1
djia major markets possible drop heavily tonight futures dropping points,-1
u apanama tigerball vis lau r angry apanama tigerball like annoyed u vishahahahhabut vis lets hope apanama tigerball arent right like u right vishahahhau r funny guy pang people u think best policy dont unto u dont want,-1
sometime lagged days reactionsometime advanced fews day reaction,1
really stupid sapura bankrupt pnb get money back lu think ah long money sapura bankrupt one whonsuffernare amanah sagan holders,-1
challenge told tells lies keep quiet still want post article try sort thing gentlemanly without cause embarrassment seem behave gentlemanly thank,-1
okay noobs like gobbled unable strike back move share game trash like,-1
ctrs today jaks,-1
armada sakit perutdia mau berak sen la takbukan mau stim,-1
acin adik sapura samporna armada,1
aitnot even january yet fbmklci already downseems like pnb chicken outpeople cash lot asbhahaahaha,-1
everyones shark either big small shark,-1
counter always got much shorties,-1
go trade else la ik,-1
otbdkpjseow well update jaks trend explained power plants progress still cowards head knowledgeable well experience investor confidence jaks still doubt tut tut stand hold,-1
come sapurasenpleaseif armada touch senwhy sapura touch senkekekekk,-1
come armadabreak sen break sen,1
told buy jaks correct listen would saved least one hundred million refuse recommend jaks attacked continuously nonstop listen buy jaks october would made lot money also believe share price jaks would skyrocketed roof sky sincere help feel disappointed matter time tell right point argues thank,-1
yuandmee wait sorchai throw means game already,-1
buy,1
world oil price drop oil counter drop,-1
kakaka good optimistic thumb optimistic sapnrg,1
duadua pengkhianat asal umno percaya baik takder parti politik,-1
type market shorties lined slaughteredlol,-1
yea today close green gain haha,1
huahtai agreed mfcb last qtr result horrible drop profit yoy andyet theshare price wentup north breaking record markets looking thefuture earn sale electricity,1
used bee sifu turn promoter drive jaks price move upwards financial muscle,-1
iger barakah also move war deny destiny,1
hell arguing actually know argue loss,-1
ctrs mkt jaks cheapest,-1
quite unlikely jan results better last jan yoy last jan good,1
fbmklci sure fall follow dow jonesbut oil gas stocks play issue still hot,-1
dragon better writewritefull stopwritefull stophis teacher didnt teach proper way write,-1
posting address general public particular target may make big buy low may losing fortune buy high buy high price exercise basic investment principle let profit runs remain vigilant preserve capital cut loss necessary,-1
mabelrespect u calm gentleafter abuse upls accept apologiesu must real tradergood night,1
macam share big hard sell lol,-1
sapu la lantai biarkan management cerik,-1
apan urine car fuel war dirty u apan oil stocks value want eat alone fight call kampung,-1
cant see blind,-1
powerful trump also wanted go asleep,-1
broking firm single client single stock policy since wonder rule still apply sifu put eggs one basket must insane,-1
skyu agree clown seem bit free,1
goodluck,1
soon fund manager realize jaks gem kyy sell dayang buy jaks think dayang rm rm easier jaks rm rm easier definitely jaks easier,1
investor understand invest go minutes video better understanding form opinion fast able generate power knowing steam blow test th jan minutes video crack head power plant consist coal handling section boiler turbine generator auxiliaries circulating water cool system generator steam blow test means already burning coal produce steam merely bypassing turbine means section complete th jan tomorrow,1
seronok dow jones reboundbe carefuland dont play playcrude brent oil head towards usd barrel wti head towards usd barrelit effect myr plus myr also could hit yuan performance alsoif china economy badly hit due virus export palm oil china also lot industrial relationship china badly hitso carefuldont play playalways remember thing get worst first getting better,1
epf shorties epf totally manipulating counter sell run,-1
one day drop see u die,-1
long still aiyoyo attack sampah short selling retard forget retard la knows nothing piece feaces,-1
malaysian suffer time coming soon,-1
time low chart rebuild low lower,-1
oil price drop non stop,-1
debt much equivalent share marketright issue coming rise fund capital need cone new investor sustain biz,-1
yes thanks lotus,1
company study find cause stock price deadly stagnant moving many placements depths cause best joke management nothing put add value stock sleeping,-1
sold big loss good feeling la bro dragon,-1
year companies withinvestment power plants go commercial operation mfcb owned donsahong jaks owned dong ytlp owned attarac power plants respectively sahong pp expect go commercial q jaks dong go commercial q q respectively ytlp attarac pp go commercial q prices stocks moved significantly last month inanticipationof good earnings power plants jaks information fromdk sifus theother stocks much information relatively ironical one mostobjective fact figures get negative hammerings eventhough stocks moving upsince fewmonths ago mfcbtook lead followed byjaks thenytlp,1
know promoters posted hyr dec time vicinity much different jaks forum right promoter hyr cursing day night lah scroll read compare promoter write hyr difference difference may promoter pseudo names,1
got new fund cheer waiting drop keep saying dropdropdrop never hold jaks dump drop drop also much become consolidated already consolidated hard drop guy dump jaks share cheaper,-1
uncle kyy could perfect timing yrs ago like prosperity began going ytl n malakoff day onwards announce awards surewin biz,-1
iklast chance grab today,1
many said jaks ipp jaks still construction utilities sector like mfcb example,-1
tomorrow rebound,1
reason margin call follower mati hengyuan sendai jaks forgotten,-1
stesen dok baik rumah kerja,1
cheap hey works easy surprise low cost item,1
wi hebat,1
bekerja baik dipasangkan w treo alat dengar skype pc using usb bluetooth transceiver,1
keseimbangan warna camera bad,-1
low quality,-1
pecut terrible customer service,-1
menjangkakan pengalaman pengguna baik motorola,-1
frustrating thing speakerphone,-1
tmobile service year im quite happy,1
keselesaan keluarga,1
mengesyorkan item,1
love thing,1
baik kerja alright,1
anda memerlukan sekurangkurangnya,-1
new battery works great phone,1
melindungi telefon pihak,1
great phone,1
however year fliptop began loose shaky finally screen became black couldnt accept make call,-1
satisfied,1
bekerja peranti trythe direka bentuk cara pintar pembinaan terasa baik,1
working,-1
membelinya ibu masalah bateri,-1
great phone great network,1
wouldnt give star could,-1
krussel always good,1
sekeping beautiful garbage,-1
good enough price,-1
still maintain monyet membuat fon kepala jelas berkongsi cukup dna menyalin reka bentuk manusia,-1
bagaimanapun keyboard small,-1
buat kesalahan lakukan,-1
kebocoran bunyi alat dengar,-1
acceptable tone,-1
great bluetooth,1
bercakap perkhidmatan pelanggan berguna,-1
mic joke amount relatively low,-1
buruk pandai,-1
muat,-1
there terrible ticks sound background calls alami,-1
beautiful phone,1
great work,1
better new,1
jabras ear happy kualiti bunyi terutama keluar better,1
tunas telinga,-1
great combination pc phone pocket,1
however pad telinga keluar mudah selepas seminggu kehilangan satu,-1
plugs dont work well,-1
wang,-1
battery hold well,1
easy use like,1
telefon kukuh phone strong nokia bar phones,1
tmobile,1
apaapa nada cincin good phone buy,1
exactly terrible,-1
pair know darn thing work,-1
anda memerlukan dua tangan mengendalikan skrin perisian skrin bersaing new software design,-1
would recommend,-1
rehat,-1
piece garbage,-1
restore phone love new performance,1
best bluetooth headset sound quality,1
anda menjawab panggilan unit bekerja sekali,-1
suka,1
acceptance terrible full static,-1
clear quality sound dont chaotic sound ipod sound button headset,1
sesuai selesa datang tiga saiz tip telinga,1
reading specifications makes say wow,1
work properly,-1
meletakkan treo kes uncomfortable plenty extra space side,-1
want,1
produk cukup baik,1
memakai baik,-1
good bargain,-1
print great tiger,1
mic great,1
good product,1
good case,1
price much,1
bad purchase,-1
problem pressing signal,-1
kulit asli bersinar selesa mengesyorkan anda kes,1
hebat,1
akhirnya tergelincir pinggir seluar poket belakang,1
baik dijangkakan,1
bateri tahan lama telefon flip,-1
harga baik penghantaran free good purchase,1
tambang year christmas bought whole family,1
miracle aid,1
poor talk time performance,-1
great thing,1
barangan,1
highly recommend device everyone,1
buang time money,-1
memalukan digunakan kelihatan kebanyakannya memalukan anak syarikat,-1
setup went well,1
betapa bodohnya,-1
pda stone,1
pilihan terbaik,1
joy use,1
would recommend others,1
kes menunjukkan tandatanda haus berfungsi,1
kept catch cable seat remove phone turn,-1
ordered sony ericsson wi think works mula menggunakannya,-1
bukannya,1
design defects,-1
internet slow,-1
memakannya,-1
great phone,1
mendengar bercakap mengeluarkan fon telinga bercakap telefon,-1
pengecas kereta car charger well ac chargers include make sure never run juice direkomendasikan,1
beli produk,-1
fixes problems,1
bekerja,1
picture resolution far offer prices offer today,-1
produk baik,1
menjadikannya mudah dipegang,1
battery runs fast,-1
ciri pemesejan teks benarbenar sukar digunakan,-1
cukup berpuas hati pembelian,1
made strong,1
fon telinga hebat,1
phone useless pekak,-1
hari,-1
kualiti bunyi baik fungsi hebat,1
hayat bateri hebat,1
receiving using product days breaks,-1
hold charge,-1
dont buy,-1
sound quality also good,1
beautiful style though,1
menggunakan kes bau menjijikkan,-1
sanyo terselamat berpuluhpuluh tetes blacktop adverse effects,1
kes pleather,-1
mungkin kecacatan mengambil risiko membelinya kualiti dibina,-1
sesuai baik telinga bunyi jelas kuat pertuduhan berlangsung hari,1
mencapai barisan selesa kekunci menghantar tamat mengharapkan,-1
kualiti bunyi peranti diterimapada area benarbenar tenang anda mendengar apaapa,-1
kekecewaan besar penyegerakan kalendar,-1
great phone,1
beli telefon,-1
whine internet goesthe use less like,-1
strong enough,-1
telefon tergelincir kereta cengkaman menghalang phone slipping hand,1
battery relied well antenna use service,-1
low quality,-1
mengesyorkan igo telefon bimbit pemain mp jenama berbeza keluarga,1
sister likes,1
butang terlalu kecil,-1
great choice speakers bumper light menarik,-1
fikir pelaburan baik,1
baik dibungkus arrived time berfungsi diharapkan,1
kelantangan dering choice kuat,1
gembira produk amazon sukar mencari expensive,1
reka bentuk rumit,-1
howevercriengtones best permainan,-1
plan order,1
easy use,1
jaminan masalah reoccurebottom line put money elsewhere cingular support,-1
best service,1
doesnt work bought lc didnt work,-1
plan use car forget,-1
great ipods,1
buat kesilapan please dont buy phone,-1
kecil bunyi hebat,1
love product,1
cermin mata hitam,-1
dont work,-1
waste time,-1
tambahnya,-1
happy purchase,1
nano expressing itmy son disappointed,-1
year battery died completely headset,-1
benarbenar baik setakat mungkin bt best headset ive ever,1
sound shield unusual,1
semasa panggilan berbeza minit mengalami point kawasan bar,-1
terus kerja baik amazon,1
ordered product first satisfied immediately,-1
anda mencari alat dengar motorola berkualiti continue find,-1
got job done,1
kulit bagus lembut ketat dipotong wajah bentuk baik,1
jabra ear gel r terbaik,1
want,-1
perlindungan,1
good,1
buangbuang satu,-1
great product,1
design good,1
sent detailed review gray black phone red fire great color,1
produk baik harga,1
happy headset,1
great noise service,1
work perfectly,1
happy product far,1
customer service terrible,-1
sound quality ends good menggunakan alat dengar memanggil isteri meminta isteri menggunakan alat dengar menghubungi,1
pembesar suara berkualiti rendah menjadikan nada dering sound cheap,-1
selesa anda memerlukan alat dengar anda selesa sekurangkurangnya satu jam satusatu masa sepanjang hari,1
stay away store careful,-1
menerima headset received headset good time happy,1
dipercayai menyerah,-1
would suggest,1
unfortunately doesnt work,-1
doesnt charge,-1
works comfortable,1
telefon terburuk,-1
impressed went original battery bateri dilanjutkan,1
suka produk motorola provides clearly ear microphone parts,1
phone bit sturdy never big deal,1
evidence says,1
plastik lantai kayu lama,-1
mobile works,1
battery works great,1
kabel kelihatan nipis rapuh menakutkan,-1
nokia berusia tracfone,-1
best headset use,1
impressed would recommend anyone,-1
amaran tinggalkan,-1
dont think instruction given help,-1
great problem,1
luar tingkap apaapa,-1
browser fail menawarkan pilihan,1
fitnah,-1
work europe asia,-1
clarity poor voice,-1
kagum harga kes,1
hari,-1
phone strong waterproof,1
great value,1
membantu,1
product great makes easier go photocopy machine waiting held something,1
disappointed,-1
huge drawback mp player button front cover phone allows pause skip locked song second,-1
membeli berharap membuat headset,-1
got lot compliments,1
membeli,1
phone cool,1
basically forget microsofts technology support,-1
would definitely recommend jabra btv looking comfort kejelasan harga hebat,1
harga hebat,1
dialing suara kereta sebarang masalah,1
kes telefon jenis dompet baik,1
dirasakan dibina menu sukar dilayari butangbutang tersekat sukar menolaknya,-1
menggunakan telefon tempoh dua tahun best,1
elakkan telefon cara,-1
berlumpur low quality noise case sekeliling penyambung wayar terlalu terpaku terkeluar,-1
gel telinga tambahan disediakan instruction anything,-1
produk baik unusual value,1
first phone ive made cheap,-1
like many people complain mikrofon alat dengar lemah,-1
use earpieces kiri right kekal telingaku,-1
gosh best phone ever,1
would highly recommend,1
phone month say best mobile phone,1
missed lot calls reason,-1
selepas bulan screen,-1
like look taste samsungs flip phone,1
cuba membuat panggilan,-1
laman web menilai telefon baik,1
telefon anggap terbaik kesilapan,-1
warna cantik fikir grafiknya tajam,1
membeli dua dikenakan bayaran,-1
dont waste money,-1
tahan selamalamanya expensive replace mudah beroperasi bunyi jauh baik cuba,1
cukup langsat dimuatkan stesen dok jam penggera mengeluarkan kes,1
memasangkan iphone bahagia setakat,1
lot battery capacity selesa dipakai tempoh lama,1
gembira melihat menggantikan holster swivel berpusing flip blackberry,1
great price well,1
merasa amp kelihatan seolaholah telefon plastik murah ringan,-1
fast service,1
kagum kerja dilakukan motorola kekokohan telefon,1
shipping time also fast,1
baik im memuaskan,1
mudah ringan hebat,1
know make wise decision,1
design odd telinga klip selesa sekali,-1
menyukai butang rasanya retak penggunaan,-1
acceptance good,1
menghadapi masalah mendengar dikatakan,-1
membuat bunyi pelik,-1
telefon bimbit,1
says,-1
great product price,1
produk baik good seller,1
everything product wrong,-1
never got,-1
basically service bad,-1
works fine,1
dont waste money,-1
headset works well,1
membuat kes small difficult install,-1
works described,1
good battery arrives fast,1
poor product,-1
send back,-1
thing disappointed infrared port irda,-1
would recommend anyone,-1
vg merangkak mengunci sekali seketika,-1
tied charger surviving conversation minit masalah masalah,-1
destinasi diketahui,-1
product suitable people like whose ear sensitive,1
cool,1
aksesori mengecewakan good manufacturer,-1
please dont waste money,-1
suka nada dering optimistic,1
kes aluminium vx sawit baru got case berfungsi baik protect hands sempurna setakat,1
provides good protection looks stylish well,1
lembap,-1
thats terrible,-1
thumb seller,1
quit work used kirakira bulan membeli satu alat dengar terbaik miliki,1
mencuba earpieces different cell phone jabra first find fit ear comfortably,1
works great,1
fikiran betul membeli bateri,-1
disappointing,-1
came verizon cingulair better cell phone first thing noticed bad service,-1
peranti tangan hebat,1
complaint standard sound amount slightly low even turn,-1
mencari alat dengar masa lama mendapatnya bahagia,1
much better hard plastic cases,1
plantronics,1
seminggu selepas mengaktifkannya suddenly died,-1
pembelian terburuk buat amazon,-1
easy pair samsung cells,1
get extra minute run call cut,1
mengesyorkan,-1
always use headset freedom wireless helpful,1
piece buruk bersama perkhidmatan verizon customer,-1
kecewa,-1
headset meets needs im happy purchase,1
great jaw bone,1
masalah disebutkan,-1
impressed product,-1
delivery time,1
adapter provide sufficient charge current,-1
sejuk kebanyakan kes,1
specific model work motorola q smartphone,-1
kes looks good made,1
selepas pertuduhan terus mati first charge continues minit,-1
memakainya hari memegang baik,1
menggunakan produk pusat kawalan motor voltan tinggi bersenandung peralatan works great,1
teruk,-1
berlangsung minit benarbenar cuba menggunakan isteri telefonmy telefon masalah,-1
sampah mutlak,-1
menghubungi syarikat told unit still warranty menghasilkan resit beruntung,-1
bapa v bateri mati,-1
ropoter,-1
wind resistant,1
berharap return unit get back money,-1
less prevents hinges,-1
love bluetooth,1
produk hebat penghantaran cepat,1
works well,1
replacement died within weeks,-1
read another review problem,1
sending good audio,1
network coverage los angeles mengerikan,-1
useless,-1
im glad bought,1
easy enough,1
berfungsi harga,1
loudglad say plantronics mengekalkan sambungan sempurna sel statik semasa penggunaan biasa,1
construction headset poorly,-1
problem accessing internet download nada dering melaksanakan sebarang fungsi,1
doesnt work mendengar bercakap,-1
bought nokia cell phone weeks ago nightmare,-1
mudah didengar,-1
get strong signal,-1
great works perfectly,1
phone used new,-1
disedut kebanyakan item dont work phone,-1
soyos technology suck,-1
iphone,1
fresh clear,1
obviously horrible customer service get pay,-1
anyone close hear conversations,-1
produk big,-1
nothing bad say headset,-1
membeli fon kepala kabel terdengar baik,-1
product good works better verizon boy cheaper,1
great little stuff,1
berjaya membengkokkan musim bunga tempatnya metal enough pressure break next decrease,-1
beli telefon,-1
phone works great,1
great charger,1
pengecas tips igo great,1
telefon tahun baru membeli sa wow,1
cuping ear large heavy terus jatuh telingaku,-1
one favorite purchase ever,1
anda mengembalikan wang tandas,-1
alat dengar hebat kagum h,1
simpan wang anda item bulan,-1
biggest complaint bateri mengalir superfast,-1
bekerja hebat pecah selepas bulan penggunaan,-1
phone fell easily,-1
berfungsi hebat kucing attacked phone scratch protective strip instead destroying screen,1
produk menutup sensor cahaya penting,-1
description improper return,-1
great job,1
berfungsi lama nokia,-1
device great cases,1
elektronik terbaik pemancar fm tersedia,1
membeli use fire light really like,1
doesnt work cell phone plug im set charger,-1
best charger lihat pasaran,1
got cell phone soon got car,1
makes worse,-1
like hard overcome conversations phone,-1
take videos time quality poor,-1
kualiti bunyi baik,1
acceptance headset good,1
akses internet fine contoh jarang berlaku bekerja,-1
masa minggu far good,1
keseluruhannya gather phone appointments contacts sambutan hebat,1
freezing often,-1
works,1
berfungsi,-1
pelbagai selesa bagus good battery life,1
membeli,-1
necessarily look like amazons picture makes look,-1
telefon akhir akhir really unhappy,-1
telefon kecil mudah digunakan kerosakan diterima,-1
meneruskannya berkala entah terus jatuh,-1
mengesyorkan,1
sekeping earbud pecah mudah,-1
berfungsi pesona berfungsi got phone,1
sambutan dahsyat apartmen phones dont problem,-1
memuat naik nada dering,-1
menyukai hayat bateri panjang,1
beats purpose bluetooth headset,-1
memiliki sampah know,-1
menggunakannya betul guess,-1
tempat,-1
great work,1
great phone,1
month berfungsi sempurna setakat,1
company sends product quickly works well,1
lasted one day exploded,-1
terrible terrible protector,-1
amazon menyebalkan,-1
pasangan keduadua peranti mudah mengambil masa minit mula membuat panggilan ciri pendailan suara,1
bateri razr membeli bagus,1
persediaan mungkin easier,1
mengarahkan kabel data motorola product ready function well,1
also area unit pecah dont like magnetic rope much,-1
product kos like mengharapkan berfungsi baik mudah,-1
poor quality service,-1
selepas mengecas semalaman bateri berfungsi baik,1
hardly hear always say,-1
good expect,-1
everything good reasonable price ie,1
telefon mengambil gambar hebat klip video,1
papan kekunci kompromi bagus qwerty penuh papan kekunci basic phone number,1
love phone,1
interesting seems quality,1
bt headset disappointment,-1
dua mengatakan telefon baru tv,1
best headset ever,1
want,1
telefon mungkin bad ive ever brand,-1
seems actually overcome original battery datang vi,1
telefon terdengar ok bagus ok phone sound ok isteri difahami could understand words said,-1
im happy,-1
works fine,1
menyemak mel suara waktu malam lampu belakang pad kekunci dimatikan saat mesej hilang,-1
mengenakan telefon telefon,-1
berfungsi dont buy,-1
comfortable,1
syarikat mengenakan bayaran restocking still dont give back refund,-1
kes mulakan dibuang,-1
accept quickly works great,1
didnt keep connection computer lap,-1
gembira pembelian good quality low price,1
saiz skrin besar pad utama menyala cukup baik,1
majority logitech earphone failed,-1
worst phone ive ever month,-1
skype,1
shame ear hurt try push ear plug ear,-1
buy wrongly advertised,-1
menyimpan apaapa nombor telefon sim,-1
pengecas kereta selepas seminggu pengecas pecah pergi pasang mula merokok,-1
dont like nokia,-1
works well,1
kekecewaan,-1
menambah penerimaan selepas membelinya,-1
mengambil masa lama menggambarkan betapa buruk pengalaman perkhidmatan pelanggan amazon,-1
spinn iriver kes,1
let go plug get unite properly get good volume,-1
first reception bar,-1
q,-1
suka kamera kualiti baik,1
great product,1
bluetooth weeks really liked,1
jaw bone era also great,1
alat dengar wayarles starter good,-1
telefon camera nice cold play video layak,1
disappointed,-1
cant get software work computer,-1
sent back,-1
att jelas sound distorted scream talk,-1
awkward use unreliable,-1
drive together alat dengar mula berdering without reason,-1
dont buy product,-1
waste dollars,-1
alat dengar hebat,1
tahun,1
jumlah mencukupi,-1
ditambah,1
calls fall skrin hitam teruk berhenti,-1
telefon memegang caj dilakukan new,1
return hour later,-1
luaran sejuk,1
frustrating performance,-1
berfungsi baik kereta cuba memuat turun buku alamat rebo back menilai peranti tinggi,1
clear fresh sound,1
benarbenar mengesyorkannya,1
bateri tawaran baik,1
comfortable hands,1
recognizes phone storage device,-1
allows possibility double reservation date time first,-1
love set head,1
miskin berbanding telefon razr dipasang lg,-1
returned,-1
buyer careful,-1
groundline gimmick bernilai murah pecut,-1
basically communication tool communicate,-1
clipping belt make feel like next percent,1
cara memasangkannya,-1
crap,-1
lightweight function well,1
oh terlupa menyebutkan strange color telefon anda,-1
tawarmenawar,1
selesa dipakai mungkin aspect penting use cases,1
kecewa keputusan,-1
kecewa,-1
keduaduanya dipisahkan kaki mula melihat bunyi statik kacau berlebihan alat dengar,-1
duduk kenderaan cradle belt alat dengarnya hilang isyarat,-1
highly recommend cases,1
kagum kedatangan lg,1
miskin,-1
suka warna,1
advise everyone fool,-1
telefon berfungsi baik,1
slow take forever anything,-1
nota penampilan telefon looks bit bland especially black models,-1
received new motorcycle seems match phone charger,-1
recently problem couldnt get touch minit diputuskan,-1
unpleasant,-1
audio great,1
keras overcome conversations telefon anda,-1
good product berpuas hati pembelian,1
super phone load,1
pecah,-1
got small cute,1
gadis mengadu waktu telefon bangun telefon biasa,-1
good headset worth right,1
surprised quality car charger didnt comment much,1
im really disappointed charger doesnt work,-1
pergi laman web motorola follow directions dipasangkan,-1
good value berfungsi baik power usb kereta soket dinding,1
extraordinary,1
arrived quickly much cheaper ones sold,1
associate phone without effort,1
memainkan kuat manamana penceramah saiz harga rendah kebanyakan berfikir kualiti bagaimanapun,1
berlaku stop use headset,-1
regret,1
company joke,-1
rakan sekerja,1
mahal digunakan palmtop kamera telefon bimbit hibrid kecil excelled role,1
bad choice,-1
im sorry made purchase,-1
great use stereo home,1
mudah,1
dosa terburuk industrial design,-1
ganggu go shop,-1
fast service,1
angin use anymore,-1
like features factor shape,1
found produk mudah ditubuhkan digunakan,1
sound clear bercakap kagum kualiti,1
however need better instruction,-1
produk dahsyat waste money,-1
im excite get headset think really cute,1
dibuat baik,1
kamera mega pixel merupakan sebahagian telefon cukup baik,1
could think,-1
meruntuhkan delivery charge,-1
sekeping murah menjangkakan kualiti baik,-1
mencuba unit failed tempoh bulan pro,-1
bertukar telefon problem,-1
telefon berusaha keras everything failed capable phone,-1
cases tried usually destroyed month seemed long run,1
telefon nampaknya menerima anything except mp cbr sebaiknya dikalahkan pemain media windows,-1
easy easy digunakan membuat perjalanan kereta lancar,1
price amazon excellent product highly recommend,1
kelemahan kes unusual quality worth extra cost official oem product,1
love device,1
case nice terasa baik tangan anda,1
selesa telinga,1
price good,1
murah merasa kelihatan murah,-1
alat tangan percuma baik,1
telefon dahsyat,-1
resulted phone trapped maximum mute amount,-1
kes hebat price,1
feels light tinny,-1
gagal,-1
mudah menghidupkan mematikan anda car volume control quite accessible,1
easy install use clear sound,1
worst,-1
mengambil bateri keluar telefon meletakkan bersamasama mulakan,-1
pembaziran wang,-1
battery life,-1
penerimaan tetamu umumnya baik,1
oh,1
tried cable computer ipod works well,1
great phone,1
unreliable service,-1
bar telefon bimbit rumah anda mendengar apaapa,-1
thank throw money,-1
telefon setahun phone year memberitahu anda,-1
works great,1
mengesyorkan,1
kamera rat megapixel mengagumkan produce images fall far expectations relatively high resolution,-1
telefon hebat,1
refuse return replace,-1
one thing hate button set set sebelah,-1
omong blank quality sound terrible,-1
comfortable ear,1
benarbenar hodoh,-1
alat pilihan bertahuntahun good amount pembatalan bunyi good,1
really misleading first cause lose important contacts,-1
jauh kecil tulang rahang menggantikannya,1
voice recognition mobile phone good,1
wireless wireless stone cheap little phone,1
membeli telefon pengganti permulaan menyesali,-1
like phone,1
easy use,1
thank great service,1
dibuka damaged battery connection device turn,-1
mudah mengakses telefon klip tali pinggang berguna dilepaskan,1
ps,1
battery life unacceptable,-1
nice compact keyboard,1
bt bateri sampah,-1
goremeister lucio fulci tambahan bagus subgenre giallo,1
menggegarkan dunia pastinya mesti melihat saluran social physical,1
merupakan keseimbangan perang cinta betul,1
masa lama melihat pelakon charismatic screen,1
harap memasukkan nilai negatif admins,-1
minta maaf mengesyorkannya,-1
one movies membosankan lihat,-1
movie offer lot fun surprises,1
generally lines plots weaker average episode,-1
give,1
air scenes well done,1
movie balanced comedy drama really enjoy,1
know melihat filem better thing come talented actor,1
hakikatnya movie great sad story two people pursuing dreams,1
terms write fresh bold,1
completely reliable,1
filem menyeronokkan lucu,1
main theme movie handled accidentally stereotaip kedalaman imaginasi,-1
pendek kata great time energy waste would recommend anyone watch movie,-1
rakanrakan julian menang,1
checked,1
zillion times reality,-1
anda berhubungan neraka memahami,-1
barney definitely super duper,1
rasa suka butiran disfungsi beliau,1
tepat memberikan ulasan,-1
classic lagu hebat lagu menarik semasa kredit berakhir,1
ten minutes movie began second thought,-1
light horrible,-1
love benarbenar menakutkan,1
charles ray,1
ingin melayari gelombang kecil filem space year year mendalam armageddon gagal manamana,-1
lot holes script,-1
suggested friends,1
satu gagal menimbulkan sebarang ketegangan sebenar,-1
realize beautiful last two scenes,1
love aisle melihatnya filem buruk,-1
touch touch command menyumbang adegan watakwatak,1
really like,1
ironinya kebanyakannya mencari films waste time watch,-1
filem apaapa reason show ridiculous action scene,-1
watak emily watson kuat understand everything,1
